game_title,weapon_name,,accuracy,ammo_name,ap_cost,area_of_effect,caps_value,code,components,critical_chance_multiplier,damage,durability,fire_rate,form_id,magazine_capacity,notes,related_weapon_skill,skill,weapon_type,weight
Fallout 3,Ripper,17,,,65.0,,100.0,,,x0,30.0,400,1.0,00004349,,,,,bladed_melee,6.0
Fallout 3,Jack,18,,,65.0,,200.0,,,x1,30.0,533,1.0,000C6E5B,,,,,bladed_melee,6.0
Fallout 3,Samurai's sword,19,,,19.0,,75.0,,,x2,55.4,833,2.31,xx00083B,,,,,bladed_melee,3.0
Fallout 3,Shishkebab,20,,,28.0,,200.0,,,x2,80.8,429,2.3,0000434E,,,,,bladed_melee,3.0
Fallout 3,Shovel,21,,,20.0,,55.0,,,x3,17.1,500,1.43,xx0082B5,,,,,bladed_melee,3.0
Fallout 3,Fertilizer shovel,22,,,20.0,,55.0,,,x3,25.4,533,1.43,xx00D5A8,,,,,bladed_melee,3.0
Fallout 3,Steel saw,23,,,65.0,,200.0,,,x0,16.0,625,1.0,xx00B643,,,,,bladed_melee,20.0
Fallout 3,Switchblade,24,,,18.0,,35.0,,,x2,15.0,400,3.0,000289C3,,,,,bladed_melee,1.0
Fallout 3,Butch's Toothpick,25,,,18.0,,50.0,,,x2.5,30.0,300,3.0,00078440,,,,,bladed_melee,5.0
Fallout 3,Baseball bat,0,,,25.0,,55.0,,,x1,12.9,889,1.4,0000421C,,,,,blunt_melee,3.0
Fallout 3,Lead pipe,1,,,24.0,,75.0,,,x1,20.8,667,2.3,00004337,,,,,blunt_melee,3.0
Fallout 3,Nail board,2,,,27.0,,30.0,,,x0,11.4,150,1.43,000A01DD,,,,,blunt_melee,4.0
Fallout 3,Board of Education,3,,,27.0,,60.0,,,x1,17.1,250,1.43,000C310F,,,,,blunt_melee,4.0
Fallout 3,Police baton,4,,,25.0,,25.0,,,x1,9.2,1250,2.3,00004345,,,,,blunt_melee,2.0
Fallout 3,Pool cue,5,,,27.0,,15.0,,,x0,4.3,333,1.43,00004346,,,,,blunt_melee,1.0
Fallout 3,The Break,6,,,27.0,,50.0,,,x1,8.6,667,1.43,00066C77,,,,,blunt_melee,1.0
Fallout 3,Repellent stick,7,,,40.0,,120.0,,,x0,11.5,2000,2.3,0002D3B7,,,,,blunt_melee,3.0
Fallout 3,Rolling pin,8,,,24.0,,10.0,,,x0,5.2,667,1.7,000B2943,,,,,blunt_melee,1.0
Fallout 3,Rolling pin (simulation),9,,,24.0,,10.0,,,x0,46.0,100,2.3,00029769,,,,,blunt_melee,2.0
Fallout 3,Shock baton,10,,,19.0,,70.0,,,x1,48.2,250,2.31,xx00083D,,,,,blunt_melee,2.0
Fallout 3,Electro-Suppressor,11,,,15.0,,70.0,,,x1,57.7,200,2.31,xx003C54,,,,,blunt_melee,2.0
Fallout 3,Sledgehammer,12,,,38.0,,130.0,,,x1,28.6,500,1.43,00004351,,,,,blunt_melee,12.0
Fallout 3,The Tenderizer,13,,,38.0,,230.0,,,x1,42.9,500,1.43,000A874B,,,,,blunt_melee,12.0
Fallout 3,Super sledge,14,,,38.0,,180.0,,,x1,35.7,600,1.43,00004352,,,,,blunt_melee,20.0
Fallout 3,Fawkes' super sledge,15,,,38.0,,300.0,,,x1,45.7,625,1.43,0007843F,,,,,blunt_melee,18.0
Fallout 3,Tire iron,16,,,27.0,,40.0,,,x1,13.8,667,2.31,00004328,,,,,blunt_melee,3.0
Fallout 3,Highwayman's Friend,17,,,27.0,,75.0,,,x1,23.1,1000,2.31,00078442,,,,,blunt_melee,5.0
Fallout 3,Bottlecap mine,0,,,,,,"0000433A,000BAFFB",Bottle cap x10Cherry bombLunchboxSensor module,,,,,,,,,Explosives,custom_built_weapons,
Fallout 3,Dart gun,1,,,,,,"0000432A,000BAFFA",Paint gunRadscorpion poison glandSurgical tubingToy car,,,,,,,,,SmallGuns,custom_built_weapons,
Fallout 3,Deathclaw gauntlet,2,,,,,,"0000432B,000BAFFC",Deathclaw handLeather beltMedical braceWonderglue,,,,,,,,,Unarmed,custom_built_weapons,
Fallout 3,Nuka-grenade,3,,,,,,"00004342,000BAFFD",Abraxo cleanerNuka-Cola QuantumTin canTurpentine,,,,,,,,,Explosives,custom_built_weapons,
Fallout 3,Railway rifle,4,,,,,,"00004348,000BAFFE",CrutchFission batteryPressure cookerSteam gauge assembly,,,,,,,,,SmallGuns,custom_built_weapons,
Fallout 3,Rock-It Launcher,5,,,,,,"0000434B,000BAFFF",ConductorFirehose nozzleLeaf blowerVacuum cleaner,,,,,,,,,BigGuns,custom_built_weapons,
Fallout 3,Shishkebab,6,,,,,,"0000434E,000BB000",Lawn mower bladeMotorcycle gas tankMotorcycle handbrakePilot light,,,,,,,,,MeleeWeapons,custom_built_weapons,
Fallout 3,Drone cannon,0,0.5,Alien power module,30.0,,1999.0,,,x1,40.0,417.0,3.33,xx000845,1.0,,,,direct_fire,18.0
Fallout 3,Drone cannon Ex-B,1,0.5,Alien power module,30.0,,1999.0,,,x1,40.0,417.0,3.33,xx00A77D,1.0,,,,direct_fire,18.0
Fallout 3,Flamer,2,0.5,Flamer fuel,50.0,,500.0,,,x0.5,16.0,208.0,8.0,0000432D,60.0,,,,direct_fire,15.0
Fallout 3,Burnmaster,3,0.5,Flamer fuel,50.0,,500.0,,,x0.5,24.0,139.0,8.0,000C80BD,60.0,,,,direct_fire,15.0
Fallout 3,Rapid-torch flamer,4,0.5,Flamer fuel,50.0,,500.0,,,x0.5,16.0,208.0,8.0,xx0091B1,60.0,,,,direct_fire,15.0
Fallout 3,Slo-burn flamer,5,0.5,Flamer fuel,50.0,,500.0,,,x0.5,18.0,185.0,8.0,xx0091B3,60.0,,,,direct_fire,15.0
Fallout 3,Gatling laser,6,0.5,ECP,30.0,,2000.0,,,x0.05,8.0,3125.0,20.0,0000432E,240.0,,,,direct_fire,18.0
Fallout 3,Precision Gatling laser,7,0.5,ECP,30.0,,3000.0,,,x0.2,8.0,3125.0,20.0,xx008895,240.0,,,,direct_fire,18.0
Fallout 3,Vengeance,8,0.5,ECP,30.0,,2400.0,,,x0.05,11.0,3030.0,20.0,000CB547,240.0,,,,direct_fire,18.0
Fallout 3,Minigun,9,2.0,5mm round,30.0,,1000.0,,,x0,5.0,3333.0,20.0,0000433F,240.0,,,,direct_fire,18.0
Fallout 3,Eugene,10,2.0,5mm round,30.0,,1500.0,,,x0,7.0,3571.0,20.0,0006B538,240.0,,,,direct_fire,18.0
Fallout 3,Rock-It Launcher,11,1.0,Junk,32.0,,200.0,,,x1,50.0,100.0,3.3,0000434B,,,,,direct_fire,8.0
Fallout 3,Alien atomizer,0,0.0,Alien power module,20.0,,500.0,,,x1,35.0,714.0,3.0,xx00083F,20.0,,,,energy_pistols,2.0
Fallout 3,Atomic pulverizer,1,0.0,Alien power module,12.0,,500.0,,,x2,37.0,676.0,3.0,xx00A77F,20.0,,,,energy_pistols,2.0
Fallout 3,Alien blaster,2,0.0,Alien power cell,20.0,,500.0,,,x100,100.0,125.0,3.0,00004322,10.0,,,,energy_pistols,2.0
Fallout 3,Captain's Sidearm,3,3.0,Alien power module,20.0,,500.0,,,x1,355.9,714.0,3.0,xx00A9DD,3010.0,,,,energy_pistols,2.0
Fallout 3,Firelance,4,0.0,Alien power cell,20.0,,750.0,,,x100,80.0,63.0,3.0,000C80BA,10.0,,,,energy_pistols,2.0
Fallout 3,Laser pistol,5,0.0,SEC,17.0,,320.0,,,x1.5,12.0,729.0,6.0,00004335,30.0,,,,energy_pistols,3.0
Fallout 3,Colonel Autumn's laser pistol,6,0.0,SEC,17.0,,420.0,,,x0.08,10.0,1250.0,12.0,000ABBE4,30.0,,,,energy_pistols,2.0
Fallout 3,Colonel Autumn's laser pistol (Broken Steel),7,0.0,SEC,17.0,,420.0,,,x1.5,18.0,694.0,6.0,000ABBE4,30.0,,,,energy_pistols,3.0
Fallout 3,Protectron's Gaze,8,2.5,SEC,17.0,,320.0,,,x1,244.9,521.0,3.0,000C553F,20.0,,,,energy_pistols,3.0
Fallout 3,Smuggler's End,9,0.0,SEC,17.0,,450.0,,,x1.5,18.0,694.0,6.0,0006B536,30.0,,,,energy_pistols,2.0
Fallout 3,Mesmetron,10,0.0,Mesmetron power cell,65.0,,500.0,,,x1,1.0,2500.0,1.03,00004339,5.0,,,,energy_pistols,2.0
Fallout 3,Microwave emitter,11,0.2,MFC,30.0,,500.0,,,x2,60.0,375.0,1.03,xx00C1C3,5.0,,,,energy_pistols,8.0
Fallout 3,Plasma pistol,12,0.5,SEC,21.0,,360.0,,,x2,25.0,400.0,3.0,00004343,16.0,,,,energy_pistols,3.0
Fallout 3,MPLX Novasurge,13,0.5,SEC,21.0,,850.0,,,x3,80.0,188.0,3.0,xx00AB86,168.0,,,,energy_pistols,6.0
Fallout 3,Alien disintegrator,0,1.0,Alien power module,30.0,,300.0,,,x2,65.0,385.0,2.0,xx000842,100.0,,,,energy_rifles,7.0
Fallout 3,Destabilizer,1,1.5,Alien power module,25.0,,1200.0,,,x0.44,30.0,1500.0,4.5,xx00A77E,100.0,,,,energy_rifles,7.0
Fallout 3,Gauss rifle,2,0.0,MFC,38.0,,500.0,,,x5,100.0,375.0,1.1,xx00C07D,1.0,,,,energy_rifles,12.0
Fallout 3,Laser rifle,3,0.0,MFC,17.0,,1000.0,,,x1.5,23.0,1087.0,2.05,00004336,24.0,,,,energy_rifles,8.0
Fallout 3,Metal Blaster,4,2.5,MFC,17.0,,1000.0,,,x1.5,556.1,455.0,2.05,xx00B513,24.0,,,,energy_rifles,8.0
Fallout 3,Wazer Wifle,5,0.0,MFC,17.0,,900.0,,,x1.5,28.0,1552.0,2.05,00061793,30.0,,,,energy_rifles,8.0
Fallout 3,Plasma rifle,6,0.2,MFC,25.0,,1799.0,,,x2,45.0,500.0,4.0,00004344,12.0,,,,energy_rifles,8.0
Fallout 3,A3-21's plasma rifle,7,0.2,MFC,25.0,,2200.0,,,x2.5,50.0,600.0,4.0,0006B539,12.0,,,,energy_rifles,8.0
Fallout 3,Tesla cannon,8,0.0,ECP,37.0,,1799.0,,,x2,80.0,563.0,1.6,xx006725,1.0,,,,energy_rifles,8.0
Fallout 3,Tri-beam laser rifle,9,2.0,MFC,23.0,,1000.0,,,x1.5,7525.0,333.0,2.73,xx005818,248.0,,,,energy_rifles,9.0
Fallout 3,.32 pistol,0,0.5,.32 caliber,20.0,,110.0,,,x1,6.0,556.0,3.0,0000080A,5.0,,,,pistols,2.0
Fallout 3,Wild Bill's Sidearm,1,0.5,.32 caliber,20.0,,250.0,,,x1,10.0,833.0,3.0,xx00A7CB,5.0,,,,pistols,2.0
Fallout 3,10mm pistol,2,0.5,10mm round,17.0,,225.0,,,x1,9.0,556.0,6.0,0000434F,12.0,,,,pistols,3.0
Fallout 3,Colonel Autumn's 10mm pistol,3,0.5,10mm round,17.0,,325.0,,,x1,13.0,577.0,6.0,0006B531,12.0,,,,pistols,3.0
Fallout 3,Silenced 10mm pistol,4,0.5,10mm round,21.0,,250.0,,,x2,8.0,333.0,6.0,00004350,12.0,,,,pistols,3.0
Fallout 3,Chinese pistol,5,1.0,10mm round,17.0,,190.0,,,x1,4.0,1250.0,6.0,00004325,10.0,,,,pistols,2.0
Fallout 3,Zhu-Rong v418 Chinese pistol,6,1.0,10mm round,17.0,,290.0,,,x2,5.0,1667.0,4.5,00060C2C,10.0,,,,pistols,2.0
Fallout 3,Dart gun,7,0.0,Dart,25.0,,500.0,,,x2.5,8.0,883.0,6.0,0000432A,1.0,,,,pistols,3.0
Fallout 3,Scoped .44 Magnum,8,0.3,.44 Magnum round,32.0,,300.0,,,x2,35.0,229.0,2.25,0000434D,6.0,,,,pistols,4.0
Fallout 3,Blackhawk,9,0.3,.44 Magnum round,32.0,,500.0,,,x2,55.0,218.0,2.25,000303A2,6.0,,,,pistols,4.0
Fallout 3,Callahan's Magnum,10,0.3,.44 Magnum round,25.0,,750.0,,,x2,65.0,205.0,2.25,xx00B806,6.0,,,,pistols,4.0
Fallout 3,Paulson's revolver,11,3.0,.44 Magnum round,32.0,,300.0,,,x2,455.0,178.0,2.25,xx00829F,6.0,,,,pistols,4.0
Fallout 3,Bottlecap mine,0,,,35.0,256.0,75.0,,,,155.0,,0.31,0000433A,,,,,placed_explosives,0.5
Fallout 3,Cryo mine,1,,,35.0,210.0,25.0,,,,0.47,,0.47,xx006FC0,,Stun freeze for 3s,,,placed_explosives,0.5
Fallout 3,Frag mine,2,,,35.0,192.0,25.0,,,,47.0,,0.47,0000433C,,,,,placed_explosives,0.5
Fallout 3,Plasma mine,3,,,35.0,192.0,50.0,,,,71.0,,0.47,0000433D,,,,,placed_explosives,0.5
Fallout 3,Pulse mine,4,,,35.0,450.0,40.0,,,,5.17,,0.47,0000433E,,+200 to robots,,,placed_explosives,0.5
Fallout 3,Assault rifle,0,1.5,5.56mm round,23.0,,300.0,,,x0.125,8.0,1250.0,8.0,0001FFEC,24.0,,,,rifles,7.0
Fallout 3,Infiltrator,1,1.5,5.56mm round,23.0,,400.0,,,x0.125,7.0,1429.0,8.0,xx00737C,24.0,,,,rifles,7.0
Fallout 3,Perforator,2,0.5,5.56mm round,27.0,,600.0,,,x0.33,10.0,1000.0,6.0,xx00B512,24.0,,,,rifles,7.0
Fallout 3,BB gun,3,0.5,BB,28.0,,36.0,,,x1,4.0,417.0,0.8,00004323,100.0,,,,rifles,2.0
Fallout 3,Chinese assault rifle,4,1.5,5.56mm round,23.0,,500.0,,,x0.125,11.0,1212.0,8.0,0000080B,24.0,,,,rifles,7.0
Fallout 3,Xuanlong assault rifle,5,1.5,5.56mm round,23.0,,400.0,,,x0.125,12.0,1111.0,8.0,000C800E,36.0,,,,rifles,7.0
Fallout 3,Hunting rifle,6,0.3,.32 caliber,25.0,,150.0,,,x1,25.0,667.0,0.75,00004333,5.0,,,,rifles,6.0
Fallout 3,Ol' Painless,7,0.0,.32 caliber,23.0,,250.0,,,x1,30.0,556.0,1.12,00066C76,5.0,,,,rifles,6.0
Fallout 3,Lever-action rifle,8,0.25,10mm round,30.0,,200.0,,,x5,40.0,250.0,0.75,xx0088DE,10.0,,,,rifles,8.0
Fallout 3,Backwater rifle,9,0.25,10mm round,30.0,,250.0,,,x5,45.0,519.0,0.75,xx00ED14,10.0,,,,rifles,7.0
Fallout 3,Lincoln's repeater,10,0.0,.44 Magnum round,25.0,,500.0,,,x2,50.0,400.0,0.75,0003C07A,15.0,,,,rifles,5.0
Fallout 3,Railway rifle,11,0.75,Railway spikes,24.0,,200.0,,,x3,30.0,222.0,2.0,00004348,8.0,,,,rifles,9.0
Fallout 3,Sniper rifle,12,0.0,.308 caliber,38.0,,300.0,,,x5,40.0,83.0,1.07,00004353,5.0,,,,rifles,10.0
Fallout 3,Reservist's rifle,13,0.0,.308 caliber,32.0,,500.0,,,x5,40.0,125.0,1.61,00092966,3.0,,,,rifles,10.0
Fallout 3,Victory rifle,14,0.0,.308 caliber,38.0,,450.0,,,x3,40.0,250.0,1.07,000CB548,5.0,,,,rifles,10.0
Fallout 3,Combat shotgun,0,3.0,12 gauge,27.0,,200.0,,,x1,556.1,145.0,1.5,00004327,12.0,,,,Shotguns,7.0
Fallout 3,The Terrible Shotgun,1,6.0,12 gauge,27.0,,250.0,,,x1,808.9,146.0,1.5,0006B534,12.0,,,,Shotguns,10.0
Fallout 3,Double-barrel shotgun,2,5.0,12 gauge,35.0,,175.0,,,x1,859.4,118.0,2.25,xx007473,21.0,,,,Shotguns,6.0
Fallout 3,Sawed-off shotgun,3,7.0,12 gauge,37.0,,190.0,,,x0,505.6,167.0,2.25,0000434C,2.0,,,,Shotguns,6.0
Fallout 3,The Kneecapper,4,4.0,12 gauge,37.0,,350.0,,,x0,758.3,111.0,1.88,0006B53A,2.0,,,,Shotguns,5.0
Fallout 3,10mm SMG,0,1.5,10mm round,20.0,,330.0,,,x0.1,7.0,1190.0,10.0,00004321,30.0,,,,submachine_guns,5.0
Fallout 3,"Sydney's 10mm ""Ultra"" SMG",1,1.5,10mm round,20.0,,430.0,,,x0.1,9.0,926.0,10.0,0006E7CC,50.0,,,,submachine_guns,5.0
Fallout 3,Cryo grenade,0,,,24.0,250.0,50.0,,,,0.65,,0.65,xx002A71,,Stun freeze for 3s,,,Thrown_explosives,0.5
Fallout 3,Frag grenade,1,,,24.0,450.0,25.0,,,,65.6,,0.65,00004330,,,,,Thrown_explosives,0.5
Fallout 3,Nuka-grenade,2,,,24.0,328.0,50.0,,,,275.0,,0.65,00004342,,100,,,Thrown_explosives,0.5
Fallout 3,Plasma grenade,3,,,24.0,450.0,50.0,,,,98.5,,0.65,00004332,,,,,Thrown_explosives,0.5
Fallout 3,Pulse grenade,4,,,24.0,450.0,40.0,,,,7.17,,0.65,00004331,,+200 to robots,,,Thrown_explosives,0.5
Fallout 3,Bare Fist,0,,,22.0,,0.0,,,1.0,,,,,,,,,Unarmed,0.0
Fallout 3,Brass knuckles,1,,,18.0,,20.0,,,1.0,9.47,667,1.58,00004324,,,,,Unarmed,1.0
Fallout 3,Steel knuckles,2,,,14.0,,20.0,,,1.0,14.21,1111,1.58,xx00B4B3,,,,,Unarmed,1.0
Fallout 3,Deathclaw gauntlet,3,,,26.0,,150.0,,,5.0,31.58,600,1.58,0000432B,,,,,Unarmed,10.0
Fallout 3,Power fist,4,,,28.0,,100.0,,,1.0,21.82,500,1.09,00004347,,,,,Unarmed,6.0
Fallout 3,Fisto,5,,,25.0,,100.0,,,1.5,27.27,480,1.09,000CB601,,,,,Unarmed,6.0
Fallout 3,The Shocker,6,,,25.0,,150.0,,,1.0,21.82,400,1.09,000BFF62,,,,,Unarmed,6.0
Fallout 3,Spiked knuckles,7,,,19.0,,25.0,,,1.0,14.21,667,1.58,00004354,,,,,Unarmed,1.0
Fallout 3,Plunkett's Valid Points,8,,,15.0,,30.0,,,2.0,18.95,333,1.58,000CAFA9,,,,,Unarmed,1.0
Fallout 3,Black Bart's Bane,1,0.5,BB,28.0,,60.0,,,x1,6.0,417,0.8,0006B535,100.0,,SmallGuns,,unused_weapons,2.0
Fallout 3,Breaker,2,,-,35.0,,30.0,,,x0,17.1,250,1.4,000CB546,,,MeleeWeapons,,unused_weapons,4.0
Fallout 3,Clover's Cleaver,3,,-,28.0,,100.0,,,x1.5,34.6,666,2.3,000C80B8,,,MeleeWeapons,,unused_weapons,3.0
Fallout 3,Curse Breaker,4,,-,25.0,,75.0,,,x1.5,18.6,923,1.4,000C80BB,,,MeleeWeapons,,unused_weapons,3.0
Fallout 3,Discharge hammer,5,,-,38.0,,180.0,,,x1,35.7,600,1.4,xx0088BF,,,MeleeWeapons,,unused_weapons,20.0
Fallout 3,Excalibat,6,,-,25.0,,75.0,,,x1.5,18.6,250,1.4,000C80BC,,,MeleeWeapons,,unused_weapons,3.0
Fallout 3,Gauss rifle (Beta),7,0.0,MFC,17.0,,1000.0,,,x1.5,47.0,1086,2.5,xx001616,5.0,,EnergyWeapons,,unused_weapons,8.0
Fallout 3,Katana,8,,-,19.0,,70.0,,,x1,34.6,333,2.3,xx0080B5,,,MeleeWeapons,,unused_weapons,2.0
Fallout 3,Law Dog,9,0.5,.32caliber,20.0,,210.0,,,x1,27.0,112,3.0,0006B532,5.0,,SmallGuns,,unused_weapons,2.0
Fallout 3,Love Tap,10,,-,15.0,,20.0,,,x2,12.6,250,1.6,000C80B9,,,Unarmed,,unused_weapons,1.0
Fallout 3,Mirelurk bait grenade,11,,-,0.0,,5.0,,,x1,0.0,-,6.0,00030664,,,Explosives,,unused_weapons,1.0
Fallout 3,O'Grady's Peacemaker,12,,-,45.0,,100.0,,,x1,13.8,1333,2.3,0007843D,,,MeleeWeapons,,unused_weapons,2.0
Fallout 3,Pa's Fishing Aid,13,1.0,12 ga,35.0,,350.0,,,x1,32.7,125,2.3,xx00D5B3,21.0,,SmallGuns,,unused_weapons,6.0
Fallout 3,Signal flare,14,,-,24.0,,25.0,,,x1,1.3,-,0.7,xx00A4DD,,,Explosives,,unused_weapons,0.5
Fallout 3,Smoke grenade,15,,-,24.0,,25.0,,,x1,65.87,-,0.7,xx008236,,,Explosives,,unused_weapons,0.5
Fallout 3,Spanner,16,,-,19.0,,70.0,,,x1,34.6,333,2.3,xx003C52,,,MeleeWeapons,,unused_weapons,2.0
Fallout 3,Tesla cannon (Beta),17,0.5,Missile,55.0,,500.0,,,x0,121.6,83,1.6,xx0026FF,11.0,,BigGuns,,unused_weapons,20.0
Fallout 3,Test gun,18,0.5,10mm,17.0,,225.0,,,x1,54.0,556,6.0,xx00A4DF,12.0,,SmallGuns,,unused_weapons,3.0
Fallout 3,Wanda,19,1.5,5.56mm,23.0,,500.0,,,x0.125,96.0,1250,8.0,0006B533,30.0,,SmallGuns,,unused_weapons,7.0
